id,question,context,answer,ground_truth,context_relevance,answer_relevance,answer_faithfulness,context_precision,context_recall,context_f1
0,Was Abraham Lincoln the sixteenth President of the United States?,Young Abraham Lincoln,what year did lincoln become president of the united states?,what year did lincoln become president of the united states?,0.7095187306404114,0.8022761344909668,0.6380508542060852,1.0,1.0,1.0
2,Did Lincoln sign the National Banking Act of 1863?,"Lincoln believed in the Whig theory of the presidency, which left Congress to write the laws while he signed them, vetoing only those bills that threatened his war powers. Thus, he signed the Homestead Act in 1862, making millions of acres of government-held land in the West available for purchase at very low cost. The Morrill Land-Grant Colleges Act, also signed in 1862, provided government grants for agricultural universities in each state. The Pacific Railway Acts of 1862 and 1864 granted federal support for the construction of the United States' First Transcontinental Railroad, which was completed in 1869. Other important legislation involved economic matters, including the first income tax and higher tariffs. Also included was the creation of the system of national banks by the National Banking Acts of 1863, 1864, and 1865, which allowed the creation of a strong national financial system.  Congress created and Lincoln approved the Department of Agriculture in 1862, although that institution would not become a Cabinet-level department until 1889.","Congress created and Lincoln approved the Department of Agriculture in 1862, although that institution would not become a Cabinet-level department until 1889.","Congress created and Lincoln approved the Department of Agriculture in 1862, although that institution would not become a Cabinet-level department until 1889.",0.6409218907356262,0.41651368141174316,0.6626290082931519,0.14285714285714285,1.0,0.25
4,Did his mother die of pneumonia?,"An autopsy performed after his death revealed grave problems with his stomach and other organs of his abdomen, along with damage to his brain. Despite the autopsy, the cause of his continual poor health was never precisely determined, though speculation focuses on tuberculosis, stomach cancer, or a combination of the two. Muir, 103.  The headaches which afflicted Pascal are generally attributed to his brain lesion.","tuberculosis, stomach cancer, or a combination of the two. Muir, 103","tuberculosis, stomach cancer, or a combination of the two. Muir, 103",0.483307421207428,0.35283491015434265,0.512016773223877,0.25,0.0,0.0
6,How many long was Lincoln's formal education?,"Lincoln's formal education consisted of about 18 months of schooling. Largely self-educated, he read every book he could get his hands on, once walking.  just to borrow one  While his favorite book was The Life of George Washington, Lincoln mastered the Bible, Shakespeare, and English and American history, and developed a plain writing style that puzzled audiences more used to grandiose rhetoric. He was also a talented local wrestler and skilled with an ax; some rails he had allegedly split in his youth were exhibited at the 1860 Republican National Convention, as the party celebrated the poor-boy-made-good theme. Lincoln avoided hunting and fishing because he did not like killing animals, even for food. Though he was unusually tall at  , 4 inches and strong, Lincoln spent so much time reading that some neighbors suspected he must be doing it to avoid strenuous manual labor.",18 months,18 months,0.6600284576416016,0.3046063780784607,0.10121282935142517,0.0,0.0,0.0
8,When did Lincoln begin his political career?,"Lincoln began his political career in 1832, at age 23, with an unsuccessful campaign for the Illinois General Assembly, as a member of the Whig Party.  He ran eighth in a field of 13 candidates.  The centerpiece of his platform was the undertaking of navigational improvements on the Sangamon River. He believed that this would attract steamboat traffic, which would allow the sparsely populated, poorer areas along the river to flourish.",1832,1832,0.6692885756492615,0.38220417499542236,0.3688126802444458,0.0,0.0,0.0
10,What did The Legal Tender Act of 1862 establish?,"The Legal Tender Act of 1862 established the United States Note, the first paper currency in United States history.  This was done to increase the money supply to pay for fighting the war.",United States Note,United States Note,0.6785459518432617,0.33773815631866455,0.6144607663154602,0.5,1.0,0.6666666666666666
12,Who suggested Lincoln grow a beard?,"While Lincoln is usually portrayed bearded, he first grew a beard in 1860 at the suggestion of 11-year-old Grace Bedell",Grace Bedell,Grace Bedell,0.7020761966705322,0.1801745593547821,0.3708864450454712,0.0,0.0,0.0
14,When did the Gettysburg address argue that America was born?,"Lincoln's powerful rhetoric defined the issues of the war for the nation, the world, and posterity. His extraordinary command of the English language was evidenced in the Gettysburg Address, a speech dedicating the cemetery at Gettysburg that he delivered on November 19, 1863. The speech defied Lincoln's own prediction that ""the world will little note, nor long remember what we say here."" Lincoln's second inaugural address is also greatly admired and often quoted. In these speeches, Lincoln articulated better than anyone else the rationale behind the Union cause.","November 19, 1863","November 19, 1863",0.6096425652503967,0.49540281295776367,0.42653751373291016,0.0,0.0,0.0
16,Did Lincoln beat John C. Breckinridge in the 1860 election?,"On November 6, 1860, Lincoln was elected as the 16th President of the United States, beating Democrat Stephen A. Douglas, John C. Breckinridge of the Southern Democrats, and John Bell of the new Constitutional Union Party. He was the first Republican president, winning entirely on the strength of his support in the North: he was not even on the ballot in nine states in the South, and won only 2 of 996 counties in the other Southern states. Lincoln gained 1,865,908 votes (39.9% of the total), for 180 electoral votes; Douglas, 1,380,202 (29.5%) for 12 electoral votes; Breckenridge, 848,019 (18.1%) for 72 electoral votes; and Bell, 590,901 (12.5%) for 39 electoral votes. There were fusion tickets in some states, but even if his opponents had combined in every state, Lincoln had a majority vote in all but two of the states in which he won the electoral votes and would still have won the electoral college and the election.",unanswerable,unanswerable,0.7117347121238708,0.13152866065502167,0.06145317852497101,0.0,0.0,0.0
18,Was Abraham Lincoln the first President of the United States?,"John Adams, Jr. (October 30,1735   July 4, 1826)  was the second President of the United States (1797 1801). He also served as America's first Vice President (1789 1797). He was defeated for re-election in the ""Revolution of 1800"" by Thomas Jefferson. Adams was also the first President to reside in the newly built White House in Washington, D.C., which was completed in 1800.",Abraham Lincoln,Abraham Lincoln,0.5737011432647705,0.7140047550201416,0.3302769660949707,0.14285714285714285,0.0,0.0
20,Did Lincoln start his political career in 1832?,"Lincoln began his political career in 1832, at age 23, with an unsuccessful campaign for the Illinois General Assembly, as a member of the Whig Party.  He ran eighth in a field of 13 candidates.  The centerpiece of his platform was the undertaking of navigational improvements on the Sangamon River. He believed that this would attract steamboat traffic, which would allow the sparsely populated, poorer areas along the river to flourish.",1832,1832,0.6880111694335938,0.5886379480361938,0.3688126802444458,0.0,0.0,0.0
